name,id
(TDF/3TC/DTG) 90s,lfQEo7IpsdX
10-14,gsW68umao8X
15+,bBzgaLaNG6S
15+,G4gtVtRR8xD
"15+, Female",Xg5Z87a0w1H
"15+, Female, Negative",EiT2La1lM1v
"15+, Female, New TB drugs",B1qGOGc1ymj
"15+, Female, Not documented",QucKdm849tu
"15+, Female, Positive",owpXUFSeRLA
"15+, Female, Short regimens",Zzh9BqmI17t
"15+, Male",aEMR8d1VYXL
"15+, Male, Negative",Orp7zQ1z6LM
"15+, Male, New TB drugs",NnPb98oXkCv
"15+, Male, Not documented",KzRyEFe87ru
"15+, Male, Positive",y0zBYJuRxSL
"15+, Male, Short regimens",DwEGjwEHJSY
"15+, Transgender",REWGyMbVbAI
"15+, Transgender, Negative",McnGbXBZWMO
"15+, Transgender, New TB drugs",T4RfxETuxdf
"15+, Transgender, Not documented",pTgKxItjCFP
"15+, Transgender, Positive",MHmymdlyeCA
"15+, Transgender, Short regimens",tQkXqPvV2qC
15-19,QQUJlkC9Mqm
15-19,Xk74DO1f0Kz
20-24,i4h8NvhM42g
20-24,UhP8C3JYtAy
25+,JrETO50eCAN
25+,kOJzxOaf6Jb
"25+, Female, Negative",w2OjYePldKv
"25+, Female, Not documented",Pf86Lrl2OpY
"25+, Female, Positive",z4rhvImLLgH
"25+, Male, Negative",XHvjCY19iyW
"25+, Male, Not documented",lNnRTO4QCWA
"25+, Male, Positive",jUSdqJzZvJ0
"25+, Negative",C301NZ0VAdn
"25+, Not documented",s2DNKZPIWMA
"25+, Positive",jYrwDwVIs8L
"25+, Transgender, Negative",GLCCWFYicDk
"25+, Transgender, Not documented",LfGrJtWuVHU
"25+, Transgender, Positive",tVwaWh45sFq
5+,XSOc03j8aaT
"5+, Microscopy",Azdn5ho2aFR
"5+, Rapid diagnostic test",pzoz1YQV4OG
5-14,YAHTXGn3LVE
"5-14, Female",bWT2BYNZ7pj
"5-14, Female, Negative",YXMaOyDdTaU
"5-14, Female, Not documented",JP9Ojz18Oqk
"5-14, Female, Positive",plBNjnqkDuP
"5-14, Male",ncdbIVs90aF
"5-14, Male, Negative",zBClQLmJmSY
"5-14, Male, Not documented",uLivqJQPW8O
"5-14, Male, Positive",FBRURkrZ9qF
"5-14, Transgender",pyZBi04eKT0
"5-14, Transgender, Negative",ZL9AD3M9bYL
"5-14, Transgender, Not documented",Zm4SZK3fVnb
"5-14, Transgender, Positive",ZE86JSUNi1H
<15,I92HHHjAdrb
<15,nfIcGYHPtYh
"<15, Female, New TB drugs",ghrXQ7SnnMl
"<15, Female, Short regimens",OWKEpsrbZ3G
"<15, Male, New TB drugs",EylWUudBRKD
"<15, Male, Short regimens",vmC5DwBwGm1
"<15, Transgender, New TB drugs",mxO7NCSRR4M
"<15, Transgender, Short regimens",xFKzqIatKFd
<25,pslIUX5ODzW
"<25, Female, Negative",RozLo8Oi729
"<25, Female, Not documented",xpMA1R0wMDN
"<25, Female, Positive",B3ByjuNmSFz
"<25, Male, Negative",awd1fntpREB
"<25, Male, Not documented",Lnx8IWUaKAK
"<25, Male, Positive",AbQxGrpKGgM
"<25, Negative",RwAQzjSpzXq
"<25, Not documented",VzqfxqGUlt9
"<25, Positive",NGdMWUSrpi3
"<25, Transgender, Negative",pwD8S0OZjsO
"<25, Transgender, Not documented",whdljVLADI8
"<25, Transgender, Positive",qzA0MEiX5jX
<5,XZcuMwlnXBA
<5,Z4Ov7soHaho
"<5, Female",A5CBZLcrWZW
"<5, Female, Negative",eDeMcpN3BW8
"<5, Female, Not documented",oLpenrXrXlI
"<5, Female, Positive",qBPZi93nFHS
"<5, Male",LUGR09dMEAv
"<5, Male, Negative",HPL7Bq4ijis
"<5, Male, Not documented",aCofRwIEds5
"<5, Male, Positive",SyAYoxnrEiK
"<5, Microscopy",YZomvG4jMjz
"<5, Rapid diagnostic test",rwDVRbu5Rfk
"<5, Transgender",n24JZyB2eIJ
"<5, Transgender, Negative",ytE0Qt2deBM
"<5, Transgender, Not documented",HNoH66uEJwm
"<5, Transgender, Positive",yna8f6Zvvyp
AMREF,boyAjOA4S83
"AMREF, COVID-19",xWrrDR1ob5V
"AMREF, HIV",CUYR4Zf20Zl
"AMREF, Malaria",F9xXqP65shO
"AMREF, TB",HVjxRb5X5bt
AYP,RbhkmqeRaGm
Active,hBxvhsaFROO
Bacteriologically confirmed,CvlargyafR0
COVID-19,GtXi2DltnUO
COVID-19,YYgkkXUmrOr
Clinically diagnosed,PqCyKkg0zjN
Closed,t7ftim81w49
Community,F5rB8MOfy5h
Community referrals,ltAXucJSPFQ
"Community testing, Female, 15-19",iCuWwOyhdOG
"Community testing, Female, 20-24",HNXjzkLdpyd
"Community testing, Female, 25+",zimFzIfzUpx
"Community testing, Female, <15",dpb4MnRDPXP
"Community testing, Male, 15-19",UNKmbWGC4aI
"Community testing, Male, 20-24",qRoyVYGFNjH
